Gender,LoanDuration,Age,Amount,DebtToIncome,Education,ExistingLiabilities,OccupationArea,default
0,12,47,1000,29.04,3,2,1,No
0,36,60,4000,48.51,4,8,11,Yes
0,48,27,1595,11.49,4,2,19,No
1,36,50,1400,29.04,4,4,16,No
0,36,37,1000,5.97,2,1,1,Yes
0,48,64,3720,62.96,4,4,7,No
0,24,22,500,4.99,2,1,6,No
0,36,21,5000,39.52,3,1,6,No
0,12,40,2500,38.74,3,5,1,No
1,48,24,1000,3.82,4,2,12,No
1,24,46,3000,54.96,5,5,7,No
1,48,25,1600,31.38,4,4,1,No
1,36,50,4000,43.01,3,5,17,No
0,12,25,1500,55.59,4,8,3,No
1,12,37,4000,67.41,4,6,7,No
0,24,26,530,60.32,5,6,11,Yes
1,36,38,700,53.64,4,13,19,Yes
1,48,25,2000,22.5,5,6,1,No
1,36,21,3500,37.52,3,3,1,No
0,36,45,2000,9.91,3,2,1,No
1,12,21,2000,31.69,4,3,1,No
1,12,33,1000,10.47,4,1,1,No
1,36,46,500,7.61,3,2,1,No
0,36,50,2500,13.59,5,1,12,No
0,36,49,500,28.52,5,3,1,No
1,12,26,2500,39.19,3,1,7,Yes
1,36,28,2500,11.61,3,2,8,Yes
1,36,23,1500,30.06,4,3,1,No
1,36,41,3000,27.89,4,4,8,Yes
1,24,68,500,52.06,3,5,9,No
0,48,26,2500,61.39,5,7,8,Yes
0,48,53,1500,20.63,5,4,17,No
1,36,39,4000,31.79,4,2,3,No
1,36,65,2000,45.33,2,4,9,Yes
1,24,47,1000,10.26,4,1,7,No
0,48,43,3000,26.64,4,6,18,No
1,48,35,700,16.22,5,5,16,No
0,36,30,3000,6.79,4,3,6,No
0,36,42,3000,22.21,4,2,1,Yes
1,48,51,2500,16.1,4,4,8,No
0,48,23,1060,34.2,4,4,6,Yes
0,48,39,1500,10.89,4,4,18,Yes
1,12,26,1500,22.89,4,2,4,No
0,12,32,1000,39.77,5,4,10,No
1,36,28,5000,41.4,4,4,3,No
0,48,41,3500,29.25,3,5,6,No
1,36,27,1000,32.92,5,8,15,Yes
0,48,49,6000,9.87,5,3,12,Yes
0,36,34,1200,6.48,3,2,10,No
0,12,39,1500,21.49,5,3,7,No
0,24,40,1500,10.13,5,2,1,No
0,36,30,500,23.37,5,2,18,No
0,48,30,7000,25.54,2,1,6,Yes
1,36,55,500,7.82,4,2,15,No
0,48,50,2100,29.84,4,3,6,No
0,24,29,2500,45.51,5,3,15,No
1,48,24,1060,8.89,4,1,18,Yes
1,36,29,500,2.58,4,1,11,No
0,48,34,2000,19.83,2,4,4,Yes
0,12,22,3000,15.51,2,1,6,No
1,24,60,2000,10.41,4,1,17,No
0,36,25,600,6.51,4,2,6,No
0,24,34,1000,11.5,3,2,9,Yes
1,48,42,3000,34.65,4,3,9,No
1,36,36,2500,23.23,5,3,10,Yes
1,36,55,500,5.53,3,1,7,No
1,36,26,3000,37.24,4,4,9,No
0,48,49,3000,7.38,5,1,9,No
0,48,34,1415,50.75,3,2,14,Yes
0,36,33,2500,56.15,4,7,6,Yes
0,24,35,2000,21.3,5,3,11,No
0,36,49,2000,14.33,4,2,19,Yes
0,24,26,4500,23.59,3,5,6,No
0,36,41,600,7.8,3,2,9,No
0,36,33,3000,30.96,5,8,8,No
0,36,66,500,22.68,5,3,8,Yes
1,48,33,2000,11.92,5,2,7,No
0,48,42,3900,25.79,2,4,8,No
0,36,39,3500,53.19,5,8,10,No
1,48,27,3500,55.27,4,5,7,Yes
1,48,29,700,47.92,4,4,1,Yes
0,48,25,5000,47.2,4,5,3,Yes
1,12,55,500,8.84,4,2,1,No
0,12,43,700,8.53,3,1,8,No
1,48,55,1500,33.43,3,2,7,No
0,24,24,1000,23.83,4,2,1,No
1,24,59,500,24.7,3,2,19,Yes
1,48,21,530,5.76,2,2,17,Yes
1,48,36,1100,19.77,2,4,1,No
0,36,31,1000,14.38,3,2,3,No
0,36,42,3000,12.09,4,2,8,No
1,36,57,5000,37.9,4,2,1,Yes
1,36,56,1000,26.33,4,3,7,No
0,24,50,2000,22.99,4,2,1,No
0,12,52,2500,27.19,4,3,9,No
0,36,23,3000,42.87,2,3,9,No
0,36,26,1500,30.06,4,5,3,No
1,36,53,3500,48.55,5,7,7,No
1,36,40,4000,35.78,3,2,9,No
1,48,23,700,4.68,4,1,1,No
1,36,33,2000,24.1,4,1,11,No
0,36,52,500,3.57,3,1,1,No
1,36,52,5000,12.96,4,1,14,No
1,24,30,2000,43.48,4,6,7,Yes
1,24,49,1900,61.48,4,5,15,Yes
0,48,34,4105,18.31,2,3,6,No
0,36,36,800,1.38,3,2,6,No
0,36,32,500,18.62,2,2,3,No
1,48,26,2435,69.83,5,11,17,Yes
0,48,41,3000,28.24,2,6,6,No
1,36,21,1000,14.88,3,2,7,No
1,36,43,3000,21.62,5,3,12,Yes
0,48,30,3590,59.19,2,8,1,Yes
0,12,27,1800,23.79,5,5,10,No
1,24,30,185.3442,0,3,0,9,Yes
1,24,40,31.9558,0,4,0,3,Yes
0,12,26,255.6415,0,2,0,3,Yes
1,12,46,102.2585,0,4,0,1,No
1,12,32,166.1699,0,4,0,15,No
1,24,30,262.0298,0,3,0,1,Yes
1,12,44,140.6064,0,4,0,16,No
1,24,27,44.7395,0,5,0,6,No
1,24,19,172.5604,0,2,0,1,Yes
1,24,30,134.1923,0,1,0,1,Yes
1,12,44,38.3472,0,4,0,16,No
1,24,40,44.739,0,4,0,3,Yes
1,24,30,172.5621,0,3,0,16,Yes
0,12,41,242.864,0,5,0,6,No
1,24,42,31.9609,0,4,0,18,Yes
1,12,36,619.9438,0,5,0,4,No
0,12,22,121.4324,0,4,0,10,Yes
0,12,41,319.5588,0,5,0,6,No
0,12,22,153.3881,0,4,0,10,Yes
1,24,34,31.9675,0,2,0,9,No
1,12,51,95.8674,0,1,0,19,No
0,12,22,63.9119,0,4,0,10,Yes
1,12,24,319.5586,0,3,0,1,Yes
1,24,19,178.9363,0,2,0,1,Yes
1,12,40,95.8677,0,4,0,1,No
0,12,41,76.6941,0,5,0,6,No
1,24,47,223.6709,0,4,0,1,Yes
0,24,22,300.4314,0,4,0,10,Yes
0,24,42,319.5834,0,4,0,7,No
1,12,40,198.1263,0,4,0,1,No
1,12,25,319.5436,0,4,0,7,Yes
1,12,50,319.5405,0,4,0,8,Yes
1,12,61,115.0408,0,3,0,7,No
1,12,47,44.7371,0,4,0,1,Yes
1,12,42,31.9521,0,3,0,17,Yes
1,24,31,249.2038,0,2,0,19,No
1,12,24,223.6976,0,3,0,1,Yes
1,12,25,63.9112,0,4,0,7,Yes
1,12,25,108.6515,0,4,0,7,Yes
1,24,19,147.1259,0,2,0,1,Yes
0,24,42,319.6012,0,4,0,7,No
1,12,42,287.59,0,3,0,17,Yes
0,24,47,319.5882,0,5,0,14,No
0,12,26,70.3032,0,4,0,1,Yes
0,24,26,31.9555,0,4,0,1,Yes
1,24,57,319.4968,0,5,0,16,No
0,24,26,63.9127,0,4,0,1,Yes
0,12,32,319.5592,0,4,0,10,No
0,24,26,191.7376,0,4,0,1,Yes
0,12,33,319.5586,0,4,0,6,No
0,24,39,281.225,0,2,0,13,No
1,24,34,134.2509,0,3,0,9,No
1,24,54,319.4988,0,3,0,9,Yes
0,12,35,319.559,0,4,0,8,No
1,12,23,31.9498,0,3,0,12,Yes
